,Actual_Value,SARIMA_Forecast,Forecast_Upper,Forecast_Lower
1990-06-01,71.4654,,,
1990-07-01,76.614,,,
1990-08-01,77.1052,,,
1990-09-01,73.061,,,
1990-10-01,67.4365,,,
1990-11-01,68.5665,,,
1990-12-01,77.6839,,,
1991-01-01,86.0214,,,
1991-02-01,77.5573,,,
1991-03-01,73.365,,,
1991-04-01,67.15,,,
1991-05-01,68.8162,,,
1991-06-01,74.8448,,,
1991-07-01,80.0928,,,
1991-08-01,79.1606,,,
1991-09-01,73.5743,,,
1991-10-01,68.7538,,,
1991-11-01,72.5166,,,
1991-12-01,79.4894,,,
1992-01-01,85.2855,,,
1992-02-01,80.1643,,,
1992-03-01,74.5275,,,
1992-04-01,69.6441,,,
1992-05-01,67.1784,,,
1992-06-01,71.2078,,,
1992-07-01,77.5081,,,
1992-08-01,76.5374,,,
1992-09-01,72.3541,,,
1992-10-01,69.0286,,,
1992-11-01,73.4992,,,
1992-12-01,84.5159,,,
1993-01-01,87.9464,,,
1993-02-01,84.5561,,,
1993-03-01,79.4747,,,
1993-04-01,71.0578,,,
1993-05-01,67.6762,,,
1993-06-01,74.3297,,,
1993-07-01,82.1048,,,
1993-08-01,82.0605,,,
1993-09-01,74.6031,,,
1993-10-01,69.681,,,
1993-11-01,74.4292,,,
1993-12-01,84.2284,,,
1994-01-01,94.1386,,,
1994-02-01,87.1607,,,
1994-03-01,79.2456,,,
1994-04-01,70.9749,,,
1994-05-01,69.3844,,,
1994-06-01,77.9831,,,
1994-07-01,83.277,,,
1994-08-01,81.8872,,,
1994-09-01,75.6826,,,
1994-10-01,71.2661,,,
1994-11-01,75.2458,,,
1994-12-01,84.8147,,,
1995-01-01,92.4532,,,
1995-02-01,87.4033,,,
1995-03-01,81.2661,,,
1995-04-01,73.8167,,,
1995-05-01,73.2682,,,
1995-06-01,78.3026,,,
1995-07-01,85.9841,,,
1995-08-01,89.5467,,,
1995-09-01,78.5035,,,
1995-10-01,73.7066,,,
1995-11-01,79.6543,,,
1995-12-01,90.8251,,,
1996-01-01,98.9732,,,
1996-02-01,92.8883,,,
1996-03-01,86.9356,,,
1996-04-01,77.2214,,,
1996-05-01,76.6826,,,
1996-06-01,81.9306,,,
1996-07-01,85.9606,,,
1996-08-01,86.5562,,,
1996-09-01,79.1919,,,
1996-10-01,74.6891,,,
1996-11-01,81.074,,,
1996-12-01,90.4855,,,
1997-01-01,98.4613,,,
1997-02-01,89.7795,,,
1997-03-01,83.0125,,,
1997-04-01,76.1476,,,
1997-05-01,73.8471,,,
1997-06-01,79.7645,,,
1997-07-01,88.4519,,,
1997-08-01,87.7828,,,
1997-09-01,81.9386,,,
1997-10-01,77.5027,,,
1997-11-01,82.0448,,,
1997-12-01,92.101,,,
1998-01-01,94.792,,,
1998-02-01,87.82,,,
1998-03-01,86.5549,,,
1998-04-01,76.7521,,,
1998-05-01,78.0303,,,
1998-06-01,86.4579,,,
1998-07-01,93.8379,,,
1998-08-01,93.531,,,
1998-09-01,87.5414,,,
1998-10-01,80.0924,,,
1998-11-01,81.4349,,,
1998-12-01,91.6841,,,
1999-01-01,102.1348,,,
1999-02-01,91.1829,,,
1999-03-01,90.7381,,,
1999-04-01,80.5176,,,
1999-05-01,79.3887,,,
1999-06-01,87.8431,,,
1999-07-01,97.4903,,,
1999-08-01,96.4157,,,
1999-09-01,87.2248,,,
1999-10-01,80.6409,,,
1999-11-01,82.2025,,,
1999-12-01,94.5113,,,
2000-01-01,102.2301,,,
2000-02-01,94.2989,,,
2000-03-01,88.0927,,,
2000-04-01,81.4425,,,
2000-05-01,84.4552,,,
2000-06-01,91.0406,,,
2000-07-01,95.9957,,,
2000-08-01,99.3704,,,
2000-09-01,90.9178,,,
2000-10-01,83.1408,,,
2000-11-01,88.041,,,
2000-12-01,102.4558,,,
2001-01-01,109.1081,,,
2001-02-01,97.1717,,,
2001-03-01,92.8283,,,
2001-04-01,82.915,,,
2001-05-01,82.5465,,,
2001-06-01,90.3955,,,
2001-07-01,96.074,,,
2001-08-01,99.5534,,,
2001-09-01,88.281,,,
2001-10-01,82.686,,,
2001-11-01,82.9319,,,
2001-12-01,93.0381,,,
2002-01-01,102.9955,,,
2002-02-01,95.2075,,,
2002-03-01,93.2556,,,
2002-04-01,85.795,,,
2002-05-01,85.2351,,,
2002-06-01,93.1896,,,
2002-07-01,102.393,,,
2002-08-01,101.6293,,,
2002-09-01,93.3089,,,
2002-10-01,86.9002,,,
2002-11-01,88.5749,,,
2002-12-01,100.8003,,,
2003-01-01,110.1807,,,
2003-02-01,103.8413,,,
2003-03-01,94.5532,,,
2003-04-01,85.062,,,
2003-05-01,85.4653,,,
2003-06-01,91.0761,,,
2003-07-01,102.22,,,
2003-08-01,104.4682,,,
2003-09-01,92.9135,,,
2003-10-01,86.5047,,,
2003-11-01,88.5735,,,
2003-12-01,103.5428,,,
2004-01-01,113.7226,,,
2004-02-01,106.159,,,
2004-03-01,95.4029,,,
2004-04-01,86.7233,,,
2004-05-01,89.0302,,,
2004-06-01,95.5045,,,
2004-07-01,101.7948,,,
2004-08-01,100.2025,,,
2004-09-01,94.024,,,
2004-10-01,87.5262,,,
2004-11-01,89.6144,,,
2004-12-01,105.7263,,,
2005-01-01,111.1614,,,
2005-02-01,101.7795,,,
2005-03-01,98.9565,,,
2005-04-01,86.4776,,,
2005-05-01,87.2234,,,
2005-06-01,99.5076,,,
2005-07-01,108.3501,,,
2005-08-01,109.4862,,,
2005-09-01,99.1155,,,
2005-10-01,89.7567,,,
2005-11-01,90.4587,,,
2005-12-01,108.2257,,,
2006-01-01,104.4724,,,
2006-02-01,101.5196,,,
2006-03-01,98.4017,,,
2006-04-01,87.5093,,,
2006-05-01,90.0222,,,
2006-06-01,100.5244,,,
2006-07-01,110.9503,,,
2006-08-01,111.5192,,,
2006-09-01,95.7632,,,
2006-10-01,90.3738,,,
2006-11-01,92.3566,,,
2006-12-01,103.066,,,
2007-01-01,112.0576,,,
2007-02-01,111.8399,,,
2007-03-01,99.1925,,,
2007-04-01,90.8177,,,
2007-05-01,92.0587,,,
2007-06-01,100.9676,,,
2007-07-01,107.5686,,,
2007-08-01,114.1036,,,
2007-09-01,101.5316,,,
2007-10-01,93.0068,,,
2007-11-01,93.9126,,,
2007-12-01,106.7528,,,
2008-01-01,114.8331,,,
2008-02-01,108.2353,,,
2008-03-01,100.4386,,,
2008-04-01,90.9944,,,
2008-05-01,91.2348,,,
2008-06-01,103.9581,,,
2008-07-01,110.7631,,,
2008-08-01,107.5665,,,
2008-09-01,97.7183,,,
2008-10-01,90.9979,,,
2008-11-01,93.8057,,,
2008-12-01,109.4221,,,
2009-01-01,116.8316,,,
2009-02-01,104.4202,,,
2009-03-01,97.8529,,,
2009-04-01,88.1973,,,
2009-05-01,87.5366,,,
2009-06-01,97.2387,,,
2009-07-01,103.9086,,,
2009-08-01,105.7486,,,
2009-09-01,94.8823,,,
2009-10-01,89.2977,,,
2009-11-01,89.3585,,,
2009-12-01,110.6844,,,
2010-01-01,119.0166,,,
2010-02-01,110.533,,,
2010-03-01,98.2672,,,
2010-04-01,86.3,,,
2010-05-01,90.8364,,,
2010-06-01,104.3538,,,
2010-07-01,112.8066,,,
2010-08-01,112.9014,,,
2010-09-01,100.1209,,,
2010-10-01,88.9251,,,
2010-11-01,92.775,,,
2010-12-01,114.3266,,,
2011-01-01,119.488,,,
2011-02-01,107.3753,,,
2011-03-01,99.1028,,,
2011-04-01,89.3583,,,
2011-05-01,90.0698,,,
2011-06-01,102.8204,,,
2011-07-01,114.7068,,,
2011-08-01,113.5958,,,
2011-09-01,99.4712,,,
2011-10-01,90.3566,,,
2011-11-01,93.8095,,,
2011-12-01,107.3312,,,
2012-01-01,111.9646,,,
2012-02-01,103.3679,,,
2012-03-01,93.5772,,,
2012-04-01,87.5566,,,
2012-05-01,92.7603,,,
2012-06-01,101.14,,,
2012-07-01,113.0357,,,
2012-08-01,109.8601,,,
2012-09-01,96.7431,,,
2012-10-01,90.3805,,,
2012-11-01,94.3417,,,
2012-12-01,105.2722,,,
2013-01-01,115.501,,,
2013-02-01,106.734,,,
2013-03-01,102.9948,,,
2013-04-01,91.0092,,,
2013-05-01,90.9634,,,
2013-06-01,100.6957,,,
2013-07-01,110.148,,,
2013-08-01,108.1756,,,
2013-09-01,99.2809,,,
2013-10-01,91.7871,,,
2013-11-01,97.2853,,,
2013-12-01,113.4732,,,
2014-01-01,124.2549,,,
2014-02-01,112.8811,,,
2014-03-01,104.7631,,,
2014-04-01,90.2867,,,
2014-05-01,92.134,,,
2014-06-01,101.878,,,
2014-07-01,108.5497,,,
2014-08-01,108.194,,,
2014-09-01,100.4172,,,
2014-10-01,92.3837,,,
2014-11-01,99.7033,,,
2014-12-01,109.3477,,,
2015-01-01,120.2696,,,
2015-02-01,116.3788,,,
2015-03-01,104.4706,,,
2015-04-01,89.7461,,,
2015-05-01,91.093,,,
2015-06-01,102.6495,,,
2015-07-01,111.6354,,,
2015-08-01,110.5925,,,
2015-09-01,101.9204,,,
2015-10-01,91.5959,,,
2015-11-01,93.0628,,,
2015-12-01,103.2203,,,
2016-01-01,117.0837,,,
2016-02-01,106.6688,,,
2016-03-01,95.3548,,,
2016-04-01,89.3254,,,
2016-05-01,90.7369,,,
2016-06-01,104.0375,,,
2016-07-01,114.5397,,,
2016-08-01,115.5159,,,
2016-09-01,102.7637,,,
2016-10-01,91.4867,,,
2016-11-01,92.89,,,
2016-12-01,112.7694,,,
2017-01-01,114.8505,,,
2017-02-01,99.4901,,,
2017-03-01,101.0396,,,
2017-04-01,88.353,,,
2017-05-01,92.0805,,,
2017-06-01,102.1532,,,
2017-07-01,112.1538,,,
2017-08-01,108.9312,,,
2017-09-01,98.6154,,,
2017-10-01,93.6137,,,
2017-11-01,97.3359,,,
2017-12-01,114.7212,,,
2018-01-01,,120.23106131758037,124.84835568015055,115.61376695501019
2018-02-01,,109.43810220036889,114.77569127818734,104.10051312255044
2018-03-01,,103.17813010809923,108.64966831549022,97.70659190070823
2018-04-01,,90.2000047513386,95.71112265930584,84.68888684337135
2018-05-01,,92.39877953342643,97.93938037486114,86.85817869199172
2018-06-01,,102.70694807782415,108.26932085397638,97.14457530167192
2018-07-01,,111.77548102654954,117.36078850284916,106.19017355024992
2018-08-01,,110.03917529418878,115.6453268434458,104.43302374493176
2018-09-01,,100.33191662598182,105.95991000779709,94.70392324416655
2018-10-01,,92.88035839085173,98.5292454019175,87.23147137978594
2018-11-01,,96.81681033913549,102.48709665738835,91.14652402088262
2018-12-01,,110.12656055439761,115.81774227031661,104.43537883847861
2019-01-01,,119.94105887982889,125.90726794757963,113.97484981207815
2019-02-01,,111.05525828804917,117.14938404167194,104.96113253442641
2019-03-01,,101.6236637964859,107.77388198924983,95.47344560372197
2019-04-01,,90.66723021134112,96.85430720469827,84.48015321798397
2019-05-01,,92.29098086372541,98.51214282515429,86.06981890229653
2019-06-01,,103.53535342883914,109.7880724147252,97.28263444295308
2019-07-01,,112.80658577370926,119.09114341049069,106.52202813692783
2019-08-01,,112.23151940501803,118.5470881409886,105.91595066904746
2019-09-01,,101.77946977662631,108.12626506047079,95.43267449278184
2019-10-01,,92.59391814340034,98.97149516345662,86.21634112334407
2019-11-01,,95.8376058718512,102.24601451977787,89.42919722392452
2019-12-01,,110.08165259443092,116.52060205593203,103.64270313292981
2020-01-01,,118.67447849594132,125.1544071229537,112.19454986892893
2020-02-01,,108.34691911627672,114.86293020489903,101.83090802765442
2020-03-01,,101.37540292357997,107.92408462327201,94.82672122388793
2020-04-01,,90.40552867466216,96.98552092010867,83.82553642921566
2020-05-01,,92.50875319560397,99.11974789047275,85.8977585007352
2020-06-01,,103.63758242420641,110.27925126563949,96.99591358277334
2020-07-01,,113.17400351602379,119.8462475790495,106.50175945299807
2020-08-01,,112.10340501363868,118.80602876261919,105.40078126465816
2020-09-01,,101.5083846837516,108.2412830576034,94.7754863098998
2020-10-01,,93.13059592007791,99.89360835023582,86.36758348992
2020-11-01,,96.34506248058848,103.13807256458905,89.55205239658791
2020-12-01,,111.74574163362277,118.56860514055437,104.92287812669117
2021-01-01,,119.12842533386619,126.17850049397934,112.07835017375304
2021-02-01,,108.30883850040001,115.47730168762091,101.14037531317912
2021-03-01,,102.15249742204746,109.38156883693311,94.92342600716181
2021-04-01,,90.5867937353321,97.86000289222353,83.31358457844065
2021-05-01,,92.83617465384008,100.15090582627263,85.52144348140752
2021-06-01,,103.69444600984025,111.04842490103893,96.34046711864157
2021-07-01,,113.15806514940769,120.55143885027981,105.76469144853557
2021-08-01,,111.7691425662459,119.20113107178456,104.33715406070725
2021-09-01,,101.40087571551734,108.8715893182776,93.93016211275709
2021-10-01,,93.4950891923189,101.00408007448208,85.98609831015573
2021-11-01,,96.91538267887165,104.46262432015611,89.3681410375872
2021-12-01,,111.98370767459382,119.56888572865752,104.39852962053011
2022-01-01,,119.78615616919159,127.68376456695259,111.88854777143058
2022-02-01,,109.41606635026831,117.47283727575258,101.35929542478404
2022-03-01,,102.49394143045221,110.63010524345498,94.35777761744944
2022-04-01,,90.96141060582192,99.15445904827592,82.76836216336793
2022-05-01,,93.06216253199933,101.30854821435479,84.81577684964388
2022-06-01,,103.9677865549476,112.26439853991367,95.67117456998152
2022-07-01,,113.35673287780439,121.70375869603984,105.00970705956894
2022-08-01,,112.1296168026086,120.52597692840517,103.73325667681202
2022-09-01,,101.79241680750452,110.23824545446229,93.34658816054676
2022-10-01,,93.62516955716508,102.11984116990023,85.13049794442993
2022-11-01,,97.04399491287055,105.58745821790534,88.50053160783575
2022-12-01,,111.78735767712044,120.37917055009848,103.1955448041424
2023-01-01,,119.92627113598911,128.75491267523,111.09762959674822
2023-02-01,,109.67931541515772,118.64471826458644,100.71391256572899
2023-03-01,,102.55421884875807,111.59996210888659,93.50847558862955
2023-04-01,,91.19585609090183,100.30473285118875,82.08697933061491
2023-05-01,,93.26077162683167,102.42989953954549,84.09164371411785
2023-06-01,,104.24390013451433,113.47069979413112,95.01710047489755
2023-07-01,,113.65798647259228,122.94249240161544,104.37348054356913
2023-08-01,,112.51685737867946,121.858095523733,103.17561923362592
2023-09-01,,102.11123288980366,111.50919742967508,92.71326834993224
2023-10-01,,93.81754230487046,103.27162426523829,84.36346034450263
2023-11-01,,97.17571221800378,106.6857619736116,87.66566246239596
2023-12-01,,112.03306270222674,121.59862143298851,102.46750397146498
2024-01-01,,120.03163484615288,129.81988753111264,110.24338216119314
2024-02-01,,109.64602301086119,119.57005032126506,99.72199570045731
2024-03-01,,102.7568138015274,112.765929077483,92.7476985255718
2024-04-01,,91.38012600722212,101.4584137755359,81.30183823890833
2024-05-01,,93.49064990136414,103.63535459112873,83.34594521159954
2024-06-01,,104.4560081728283,114.66465977319791,94.2473565724587
2024-07-01,,113.89089370601413,124.16345892499355,103.6183284870347
2024-08-01,,112.69780997458956,123.03331782542222,102.3623021237569
2024-09-01,,102.28637363785096,112.68475675454998,91.88799052115193
2024-10-01,,94.0760229453761,104.53665307566813,83.61539281508406
2024-11-01,,97.43759933297204,107.96027740151771,86.91492126442637
2024-12-01,,112.38523939216206,122.96947925012623,101.8009995341979
